,REARING_NUMBER,YEAR_OF_COLL,LEG,COUNTRY,REGION,SITE,NDECDEG,EDECDEG,ELEVATION,RSAL,RGALLER,RPAR,N_GALLS,NB_GALLS_PAR,site_time,site_ID
3326,199924A-25SOkriec,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Hruber,379,1,Zillis1999,639
3327,199925A1-E1Ovesic,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovesic,Svesic,11,1,Zillis1999,639
3328,199925G1-L1Evenus,1999,1999-07-18,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal36,Evenus,Chalci,17,6,Zillis1999,639
3329,199925G1-L1Evenus,1999,1999-07-18,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal36,Evenus,Ccruxx,17,8,Zillis1999,639
3330,199925T-YOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Pdolic,29,2,Zillis1999,639
3331,199925T-YOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Chalci,29,9,Zillis1999,639
3332,199925T-YOvimin,1999,1999-07-20,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ccruxx,29,10,Zillis1999,639
3333,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Eacicu,296,7,Zillis1999,639
3334,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Etorym,296,3,Zillis1999,639
3335,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Pdolic,296,3,Zillis1999,639
3336,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Chalci,296,62,Zillis1999,639
3337,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Bpicti,296,1,Zillis1999,639
3338,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Broman,296,3,Zillis1999,639
3339,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Bracin,296,2,Zillis1999,639
3340,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Mesole,296,6,Zillis1999,639
3341,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Svesic,296,2,Zillis1999,639
3342,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Ccruxx,296,44,Zillis1999,639
3343,199926A-27NOkriec,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal1,Okriec,Hruber,296,6,Zillis1999,639
3348,199927P-WOvimin,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Tspfiv,42,1,Zillis1999,639
3349,199927P-WOvimin,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Eacicu,42,6,Zillis1999,639
3350,199927P-WOvimin,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Etorym,42,1,Zillis1999,639
3351,199927P-WOvimin,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Chalci,42,19,Zillis1999,639
3352,199927P-WOvimin,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Svesic,42,5,Zillis1999,639
3353,199927P-WOvimin,1999,1999-08-30,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovimin,Ccruxx,42,7,Zillis1999,639
3354,199927Y-M1Ovesic,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovesic,Eacicu,89,2,Zillis1999,639
3355,199927Y-M1Ovesic,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovesic,Chalci,89,1,Zillis1999,639
3356,199927Y-M1Ovesic,1999,1999-08-31,Switzerland,Graubünden,Zillis,46.63333333,9.433333333,1122,Sal10,Ovesic,Bpicti,89,7,Zillis1999,639
