"Salix"	"Rgaller"	"cooccur"	"interact"	"salix_ID"	"galler_ID"	"post_mean"	"post_SD"
"220"	"fragilis"	"Okriec"	0	0	19	71	0.545143663965149	0.048141703207588
"221"	"repens"	"Okriec"	0	0	42	71	0.545143663965149	0.048141703207588
"222"	"lapponum"	"Okriec"	0	0	29	71	0.545143663965149	0.048141703207588
"223"	"myrsinites"	"Okriec"	0	0	35	71	0.545143663965149	0.048141703207588
"224"	"phylicifolia"	"Okriec"	0	0	38	71	0.545143663965149	0.048141703207588
"225"	"glauca"	"Okriec"	0	0	22	71	0.545143663965149	0.048141703207588
"226"	"caprea"	"Okriec"	3	0	11	71	0.344493791569958	0.0277054286114692
"227"	"mielichhoferi"	"Okriec"	0	0	33	71	0.545143663965149	0.048141703207588
"228"	"waldsteiniana"	"Okriec"	0	0	52	71	0.545143663965149	0.048141703207588
"229"	"pentandra"	"Okriec"	0	0	37	71	0.545143663965149	0.048141703207588
"230"	"breviserrata"	"Okriec"	0	0	10	71	0.545143663965149	0.048141703207588
"231"	"reticulata"	"Okriec"	0	0	43	71	0.545143663965149	0.048141703207588
"232"	"retusa"	"Okriec"	0	0	44	71	0.545143663965149	0.048141703207588
"233"	"aurita"	"Okriec"	0	0	6	71	0.545143663965149	0.048141703207588
"234"	"triandra"	"Okriec"	0	0	48	71	0.545143663965149	0.048141703207588
"235"	"lanata"	"Okriec"	0	0	28	71	0.545143663965149	0.048141703207588
"236"	"herbacea"	"Okriec"	0	0	27	71	0.545143663965149	0.048141703207588
"237"	"borealis"	"Okriec"	0	0	9	71	0.545143663965149	0.048141703207588
"238"	"myrtilloides"	"Okriec"	0	0	36	71	0.545143663965149	0.048141703207588
"239"	"viminalis"	"Okriec"	0	0	49	71	0.545143663965149	0.048141703207588
"240"	"glabra"	"Okriec"	0	0	21	71	0.545143663965149	0.048141703207588
"241"	"apennina"	"Okriec"	0	0	4	71	0.545143663965149	0.048141703207588
"242"	"rubens"	"Okriec"	0	0	46	71	0.545143663965149	0.048141703207588
"243"	"rosmarinifolia"	"Okriec"	0	0	45	71	0.545143663965149	0.048141703207588
"244"	"caprea x appendiculata"	"Okriec"	1	0	12	71	0.456512080518707	0.0403384966949806
"245"	"cinerea oleifolia"	"Okriec"	0	0	14	71	0.545143663965149	0.048141703207588
"246"	"viminalis x caprea"	"Okriec"	0	0	51	71	0.545143663965149	0.048141703207588
