Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
44	0.5	18.2063492063	9.35294603175	0.0163008982714
45	0.5	18.619047619	9.18621269841	0.0160103050085
46	0.5	18.626984127	9.43309714286	0.0179132932056
47	0.5	18.6587301587	9.08802857143	0.00723340073325
48	0.5	18.0873015873	9.20076952381	0.0255118084081
49	0.5	18.0952380952	8.96605206349	0.0194469855262
50	0.5	18.0793650794	8.94873777778	0.0169935028979
51	0.5	18.4047619048	8.77946248848	0.0349915764603
52	0.5	18.2777777778	9.22018285714	0.0199981844074
53	0.5	18.5634920635	9.1674	0.00729657453878
54	0.5	18.0238095238	9.32715047619	0.0250679512384
55	0.5	18.2619047619	9.2115047619	0.0187917802587
56	0.5	17.619047619	9.16250666667	0.0268378909272
57	0.5	18.126984127	9.19355873016	0.026230579974
58	0.5	18.746031746	9.22443555556	0.0125855460895
59	0.5	18.3412698413	9.08808126984	0.0236035553902
60	0.5	18.4920634921	9.22664888889	0.0175212514351
61	0.5	18.2936507937	9.27132444444	0.0103822222222
62	0.5	18.7619047619	9.10975238095	0.0255551111072
63	0.5	18.2301587302	9.0432984127	0.0157612250689
64	0.5	18.5	9.39189333333	0.0147187116989
65	0.5	18.2222222222	9.07723428571	0.0196881350367
66	0.5	18.2380952381	8.9862831746	0.0122606180493
67	0.5	18.126984127	9.01875809524	0.0141339446238
68	0.5	18.246031746	9.36088571429	0.0163147360458
69	0.5	18.3253968254	9.11548444444	0.0173101520202
70	0.5	17.9047619048	9.24179047619	0.0161071694295
71	0.5	18.0238095238	9.02525333333	0.0101066666667
72	0.5	18.3492063492	9.16827887353	0.0287822319104
73	0.5	17.9126984127	8.896	0.0213333333333
74	0.5	18.5396825397	9.25934603175	0.0284176751871
75	0.5	18.0396825397	9.1226952381	0.0158996028131
76	0.5	17.8174603175	9.08517587302	0.0197053600018
77	0.5	18.1984126984	9.18474349206	0.0125313914161
78	0.5	18.4126984127	9.34575365079	0.0177474293796
79	0.5	18.0634920635	8.9653352381	0.0182895861311
80	0.5	18.3492063492	9.02959640553	0.022159293265
81	0.5	18.380952381	9.09742095238	0.0124122511347
82	0.5	18.6111111111	8.98701349718	0.0174630476932
83	0.5	18.119047619	9.17901882232	0.0203705457036
84	0.5	18.5555555556	9.24326857143	0.018856579501
85	0.5	17.9126984127	9.22886222222	0.0211138543247
86	0.5	18.4047619048	9.03535873016	0.0157473872944
87	0.5	17.7301587302	9.25618920635	0.0126288698282
88	0.5	18.3412698413	8.90180761905	0.0181599876465
89	0.5	17.8015873016	9.1299047619	0.014308130561
90	0.5	18.5873015873	9.15591809524	0.0186783815847
91	0.5	18.5714285714	9.12050666667	0.0102133333333
92	0.5	18.4206349206	9.02597079365	0.0250271281102
93	0.5	18.0555555556	9.2092952381	0.0144325490876
94	0.5	18.753968254	8.99997650794	0.0225081964836
95	0.5	17.5555555556	9.22222222222	0.0
96	0.5	18.4761904762	8.89813333333	0.0239149108918
97	0.5	18.0476190476	9.23606603175	0.0200326343375
98	0.5	18.3492063492	9.09385616999	0.0232769719501
99	0.5	18.5476190476	9.27577396825	0.0201187591626
100	0.5	17.9444444444	9.20062031746	0.0125530532855
1	0.9	18.3015873016	15.9047619048	3.5527136788e-15
2	0.9	18.1428571429	16.0238095238	0.0
3	0.9	17.8333333333	16.119047619	3.5527136788e-15
4	0.9	18.2857142857	16.6507936508	0.0
5	0.9	18.373015873	16.753968254	3.5527136788e-15
6	0.9	18.0634920635	16.5396825397	0.0
7	0.9	17.6746031746	16.0952380952	3.5527136788e-15
8	0.9	18.1904761905	16.1111111111	0.0
9	0.9	17.8492063492	16.3095238095	3.5527136788e-15
10	0.9	17.9920634921	16.4285714286	7.1054273576e-15
11	0.9	18.3492063492	16.5158730159	0.0
12	0.9	18.5158730159	16.7619047619	0.0
13	0.9	18.8412698413	16.4761904762	0.0
14	0.9	18.0634920635	16.5	0.0
15	0.9	18.4841269841	16.253968254	3.5527136788e-15
16	0.9	18.4365079365	16.253968254	3.5527136788e-15
17	0.9	18.373015873	16.373015873	0.0
18	0.9	18.2857142857	16.7063492063	0.0
19	0.9	18.6666666667	16.0873015873	7.1054273576e-15
20	0.9	18.2857142857	16.5555555556	0.0
21	0.9	18.0555555556	16.6349206349	3.5527136788e-15
22	0.9	18.0476190476	16.2936507937	0.0
23	0.9	18.5396825397	16.4444444444	0.0
24	0.9	18.3253968254	16.1111111111	0.0
25	0.9	18.8253968254	16.6507936508	0.0
26	0.9	18.1111111111	16.0793650794	3.5527136788e-15
27	0.9	18.1349206349	16.3888888889	0.0
28	0.9	18.1825396825	16.2857142857	7.1054273576e-15
29	0.9	18.746031746	16.5	0.0
30	0.9	18.4285714286	16.6111111111	0.0
31	0.9	17.9603174603	16.880952381	3.5527136788e-15
32	0.9	18.4682539683	16.2380952381	0.0
33	0.9	18.380952381	16.6349206349	3.5527136788e-15
34	0.9	18.8650793651	16.2380952381	0.0
35	0.9	18.3174603175	16.5555555556	0.0
36	0.9	17.9841269841	16.5476190476	3.5527136788e-15
37	0.9	18.3650793651	16.4682539683	3.5527136788e-15
38	0.9	18.2936507937	16.3333333333	0.0
39	0.9	17.9206349206	16.4047619048	3.5527136788e-15
