Web	Proportion	Obs_C	Sample_mean	Sample_SD
97	0.5	0.192294973545	0.096209021164	0.000208673274349
98	0.5	0.189401455026	0.0947376325839	0.000259344265784
99	0.5	0.193121693122	0.0966226455026	0.000209570407944
100	0.5	0.191633597884	0.0958397949735	0.000130760971724
1	0.8	0.184110449735	0.147238756614	2.77555756156e-17
2	0.8	0.185515873016	0.148396164021	0.0
3	0.8	0.186590608466	0.149222883598	0.0
4	0.8	0.192791005291	0.154183201058	2.77555756156e-17
5	0.8	0.193948412698	0.155092592593	2.77555756156e-17
6	0.8	0.191468253968	0.153108465608	2.77555756156e-17
7	0.8	0.186342592593	0.149057539683	2.77555756156e-17
8	0.8	0.186507936508	0.14914021164	2.77555756156e-17
9	0.8	0.188822751323	0.151041666667	0.0
10	0.8	0.190228174603	0.152116402116	2.77555756156e-17
