Web	Proportion	Obs_LperSalix	Sample_mean	Sample_SD
74	0.8	27.5208333333	22.0104166667	1.06581410364e-14
75	0.8	29.1041666667	23.28125	0.0
76	0.8	28.0625	22.4479166667	1.06581410364e-14
77	0.8	28.9375	23.1458333333	1.06581410364e-14
78	0.8	29.3854166667	23.5	0.0
79	0.8	28.0729166667	22.4583333333	1.06581410364e-14
80	0.8	28.5104166667	22.8020833333	1.06581410364e-14
81	0.8	28.65625	22.9166666667	1.06581410364e-14
82	0.8	28.8541666667	23.0833333333	1.06581410364e-14
83	0.8	27.90625	22.3229166667	1.06581410364e-14
84	0.8	28.3645833333	22.6875	0.0
85	0.8	29.3125	23.4479166667	7.1054273576e-15
86	0.8	28.8541666667	23.0833333333	1.06581410364e-14
87	0.8	28.375	22.6979166667	1.06581410364e-14
88	0.8	29.0416666667	23.2291666667	1.06581410364e-14
89	0.8	28.5208333333	22.8125	0.0
90	0.8	28.4895833333	22.7916666667	1.06581410364e-14
91	0.8	28.59375	22.875	0.0
92	0.8	28.5625	22.84375	0.0
93	0.8	28.7708333333	23.0104166667	1.06581410364e-14
94	0.8	29.0520833333	23.2395833333	1.06581410364e-14
95	0.8	27.8854166667	22.3020833333	1.06581410364e-14
96	0.8	28.1458333333	22.5104166667	1.06581410364e-14
97	0.8	27.875	22.2916666667	1.06581410364e-14
98	0.8	28.34375	22.6666666667	1.06581410364e-14
99	0.8	28.6041666667	22.875	0.0
100	0.8	28.1041666667	22.4791666667	1.06581410364e-14
1	0.99	28.53125	28.2395833333	7.1054273576e-15
2	0.99	28.84375	28.5520833333	3.5527136788e-15
3	0.99	27.7604166667	27.4791666667	7.1054273576e-15
4	0.99	28.0833333333	27.8020833333	7.1054273576e-15
5	0.99	28.59375	28.3020833333	7.1054273576e-15
6	0.99	27.7395833333	27.4583333333	7.1054273576e-15
7	0.99	28.15625	27.8645833333	7.1054273576e-15
8	0.99	29.0729166667	28.78125	0.0
9	0.99	27.4375	27.15625	0.0
10	0.99	28.4895833333	28.1979166667	7.1054273576e-15
11	0.99	28.8541666667	28.5625	0.0
12	0.99	28.6458333333	28.3541666667	7.1054273576e-15
13	0.99	28.125	27.84375	0.0
14	0.99	28.53125	28.2395833333	7.1054273576e-15
15	0.99	29.4375	29.1354166667	3.5527136788e-15
16	0.99	29.0104166667	28.71875	0.0
17	0.99	27.9895833333	27.7083333333	7.1054273576e-15
18	0.99	28.75	28.4583333333	3.5527136788e-15
19	0.99	28.4270833333	28.1354166667	7.1054273576e-15
20	0.99	27.9791666667	27.6979166667	7.1054273576e-15
21	0.99	28.6875	28.3958333333	7.1054273576e-15
22	0.99	28.90625	28.6145833333	3.5527136788e-15
23	0.99	28.5104166667	28.21875	0.0
24	0.99	29.09375	28.8020833333	3.5527136788e-15
25	0.99	28.5833333333	28.2916666667	7.1054273576e-15
26	0.99	28.9166666667	28.625	0.0
27	0.99	28.8333333333	28.5416666667	3.5527136788e-15
28	0.99	28.8854166667	28.59375	0.0
29	0.99	29.21875	28.9166666667	3.5527136788e-15
30	0.99	28.8125	28.5208333333	3.5527136788e-15
31	0.99	28.6145833333	28.3229166667	7.1054273576e-15
32	0.99	28.6145833333	28.3229166667	7.1054273576e-15
33	0.99	28.78125	28.4895833333	3.5527136788e-15
34	0.99	28.5625	28.2708333333	7.1054273576e-15
35	0.99	28.3125	28.0208333333	7.1054273576e-15
36	0.99	28.09375	27.8125	0.0
37	0.99	28.1458333333	27.8541666667	7.1054273576e-15
38	0.99	28.4375	28.1458333333	7.1054273576e-15
39	0.99	28.4166666667	28.125	0.0
40	0.99	28.4270833333	28.1354166667	7.1054273576e-15
41	0.99	28.4270833333	28.1354166667	7.1054273576e-15
42	0.99	28.6458333333	28.3541666667	7.1054273576e-15
43	0.99	28.0729166667	27.7916666667	7.1054273576e-15
44	0.99	28.78125	28.4895833333	3.5527136788e-15
45	0.99	27.96875	27.6875	0.0
46	0.99	29.5104166667	29.2083333333	3.5527136788e-15
47	0.99	28.6770833333	28.3854166667	7.1054273576e-15
48	0.99	28.78125	28.4895833333	3.5527136788e-15
49	0.99	28.1041666667	27.8229166667	7.1054273576e-15
50	0.99	28.5208333333	28.2291666667	7.1054273576e-15
51	0.99	27.75	27.46875	0.0
52	0.99	28.59375	28.3020833333	7.1054273576e-15
53	0.99	28.4375	28.1458333333	7.1054273576e-15
54	0.99	29.4895833333	29.1875	0.0
55	0.99	28.4166666667	28.125	0.0
56	0.99	29.3229166667	29.0208333333	3.5527136788e-15
57	0.99	28.2291666667	27.9375	0.0
58	0.99	28.6145833333	28.3229166667	7.1054273576e-15
59	0.99	28.0729166667	27.7916666667	7.1054273576e-15
60	0.99	28.96875	28.6770833333	3.5527136788e-15
61	0.99	28.1458333333	27.8541666667	7.1054273576e-15
62	0.99	28.53125	28.2395833333	7.1054273576e-15
63	0.99	29.1354166667	28.84375	0.0
