"Salix" "Rgaller" "cooccur" "interact" "salix_ID" "galler_ID" "post.mean" "post.sd"
"143" "viminalis x ?" "Ovaria" 0 0 50 93 0.062469330986797 0.000543414899234718
"144" "alpina?" "Ovaria" 0 0 3 93 0.062469330986797 0.000543414899234718
"145" "phylicifolia x caprea ?" "Ovaria" 0 0 39 93 0.062469330986797 0.000543414899234718
"146" "lapponum x glauca?" "Ovaria" 0 0 31 93 0.062469330986797 0.000543414899234718
"147" "lapponum x glauca" "Ovaria" 0 0 30 93 0.062469330986797 0.000543414899234718
"148" "aurita x caprea" "Ovaria" 0 0 7 93 0.062469330986797 0.000543414899234718
"149" "starkeana" "Ovaria" 1 0 47 93 0.0618950360027647 0.00053379613159122
"150" "hastata x phylicifolia" "Ovaria" 1 0 25 93 0.0618950360027647 0.00053379613159122
"151" "lapponum x phylicifolia" "Ovaria" 1 0 32 93 0.0618950360027647 0.00053379613159122
"152" "acutifolia" "Ovaria" 0 0 1 93 0.062469330986797 0.000543414899234718
"153" "bicolor" "Ovaria" 0 0 8 93 0.062469330986797 0.000543414899234718
"154" "polaris" "Ovaria" 0 0 40 93 0.062469330986797 0.000543414899234718
"155" "cinerea x myrsinifolia" "Ovaria" 0 0 15 93 0.062469330986797 0.000543414899234718
"156" "fragilis x pentandra" "Ovaria" 0 0 20 93 0.062469330986797 0.000543414899234718
"157" "elaeagnos" "Oobscu" 2 0 17 81 0.0613312040821622 0.000524430221890415
"158" "appendiculata" "Oobscu" 7 0 5 81 0.05865941852825 0.000481099202799104
"159" "myrsinifolia" "Oobscu" 8 0 34 81 0.058152754128857 0.000473078701577087
"160" "foetida" "Oobscu" 18 18 18 81 1 0
"161" "hastata" "Oobscu" 7 0 24 81 0.05865941852825 0.000481099202799104
"162" "daphnoides" "Oobscu" 1 0 16 81 0.0618950360027647 0.00053379613159122
"163" "helvetica" "Oobscu" 3 0 26 81 0.0607775518668684 0.000515308394815073
"164" "glaucosericea" "Oobscu" 0 0 23 81 0.062469330986797 0.000543414899234718
"165" "cinerea" "Oobscu" 0 0 13 81 0.062469330986797 0.000543414899234718
"166" "purpurea" "Oobscu" 3 0 41 81 0.0607775518668684 0.000515308394815073
"167" "alba" "Oobscu" 0 0 2 81 0.062469330986797 0.000543414899234718
"168" "fragilis" "Oobscu" 0 0 19 81 0.062469330986797 0.000543414899234718
"169" "repens" "Oobscu" 0 0 42 81 0.062469330986797 0.000543414899234718
"170" "lapponum" "Oobscu" 0 0 29 81 0.062469330986797 0.000543414899234718
"171" "myrsinites" "Oobscu" 0 0 35 81 0.062469330986797 0.000543414899234718
"172" "phylicifolia" "Oobscu" 0 0 38 81 0.062469330986797 0.000543414899234718
"173" "glauca" "Oobscu" 0 0 22 81 0.062469330986797 0.000543414899234718
"174" "caprea" "Oobscu" 0 0 11 81 0.062469330986797 0.000543414899234718
