"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"162" "Epurpu" "Aalvea" 0 0 2 21 0.123873302707661 0.0100216317395944
"163" "Eatraa" "Aalvea" 0 0 2 3 0.123873302707661 0.0100216317395944
"164" "Eangus" "Aalvea" 0 0 2 1 0.123873302707661 0.0100216317395944
"165" "Hangli" "Aalvea" 0 0 2 30 0.123873302707661 0.0100216317395944
"166" "Hleuca" "Aalvea" 0 0 2 35 0.123873302707661 0.0100216317395944
"167" "Hoblit" "Aalvea" 0 0 2 38 0.123873302707661 0.0100216317395944
"168" "Heryth" "Aalvea" 0 0 2 33 0.123873302707661 0.0100216317395944
"169" "Halien" "Aalvea" 0 0 2 29 0.123873302707661 0.0100216317395944
"170" "Hsglab" "Aalvea" 0 0 2 48 0.123873302707661 0.0100216317395944
"171" "Htuber" "Aalvea" 0 0 2 54 0.123873302707661 0.0100216317395944
"172" "Eweiff" "Aalvea" 0 0 2 27 0.123873302707661 0.0100216317395944
"173" "Esubge" "Aalvea" 0 0 2 24 0.123873302707661 0.0100216317395944
"174" "Egemmc" "Aalvea" 0 0 2 9 0.123873302707661 0.0100216317395944
"175" "Eaurit" "Aalvea" 0 0 2 4 0.123873302707661 0.0100216317395944
"176" "Ospset" "Aalvea" 0 0 2 91 0.123873302707661 0.0100216317395944
"177" "Emyrti" "Aalvea" 0 0 2 18 0.123873302707661 0.0100216317395944
"178" "Esmyrt" "Aalvea" 0 0 2 23 0.123873302707661 0.0100216317395944
"179" "Esmyrs" "Aalvea" 0 0 2 22 0.123873302707661 0.0100216317395944
"180" "Eciner" "Aalvea" 0 0 2 6 0.123873302707661 0.0100216317395944
"181" "Eappen" "Aalvea" 0 0 2 2 0.123873302707661 0.0100216317395944
"182" "Hpscho" "Aalvea" 0 0 2 45 0.123873302707661 0.0100216317395944
"183" "Hplicp" "Aalvea" 0 0 2 42 0.123873302707661 0.0100216317395944
"184" "Hscapr" "Aalvea" 0 0 2 47 0.123873302707661 0.0100216317395944
"185" "Hanoma" "Aalvea" 0 0 2 31 0.123873302707661 0.0100216317395944
"186" "Oaacut" "Aalvea" 0 0 2 55 0.123873302707661 0.0100216317395944
"187" "Hpurpu" "Aalvea" 0 0 2 46 0.123873302707661 0.0100216317395944
"188" "Opolar" "Aalvea" 0 0 2 83 0.123873302707661 0.0100216317395944
"189" "Opprox" "Aalvea" 0 0 2 84 0.123873302707661 0.0100216317395944
"190" "Hspecc" "Aalvea" 0 0 2 51 0.123873302707661 0.0100216317395944
"191" "Hsglau" "Aalvea" 0 0 2 49 0.123873302707661 0.0100216317395944
"192" "Hslana" "Aalvea" 0 0 2 50 0.123873302707661 0.0100216317395944
"193" "Oelaea" "Atymbe" 1 1 13 63 1 0
"194" "Obridg" "Atymbe" 0 0 13 60 0.123873302707661 0.0100216317395944
"195" "Ovaria" "Atymbe" 0 0 13 93 0.123873302707661 0.0100216317395944
"196" "Oobscu" "Atymbe" 0 0 13 81 0.123873302707661 0.0100216317395944
"197" "Okriec" "Atymbe" 1 0 13 71 0.113401695210061 0.00849927892281892
"198" "Onigri" "Atymbe" 0 0 13 78 0.123873302707661 0.0100216317395944
