"Rgaller" "Rpara" "cooccur" "interact" "para_ID" "galler_ID" "post.mean" "post.sd"
"121" "Ogalla" "Aalvea" 0 0 2 65 0.127340212208506 0.00865366270425834
"122" "Hischn" "Aalvea" 0 0 2 34 0.127340212208506 0.00865366270425834
"123" "Ehasta" "Aalvea" 0 0 2 12 0.127340212208506 0.00865366270425834
"124" "Egemmf" "Aalvea" 0 0 2 10 0.127340212208506 0.00865366270425834
"125" "Omonti" "Aalvea" 0 0 2 75 0.127340212208506 0.00865366270425834
"126" "Eelaea" "Aalvea" 0 0 2 8 0.127340212208506 0.00865366270425834
"127" "Hcarin" "Aalvea" 0 0 2 32 0.127340212208506 0.00865366270425834
"128" "Egemmh" "Aalvea" 0 0 2 11 0.127340212208506 0.00865366270425834
"129" "Hplicg" "Aalvea" 0 0 2 40 0.127340212208506 0.00865366270425834
"130" "Omacul" "Aalvea" 0 0 2 74 0.127340212208506 0.00865366270425834
"131" "Hspirh" "Aalvea" 0 0 2 53 0.127340212208506 0.00865366270425834
"132" "Obrevi" "Aalvea" 0 0 2 59 0.127340212208506 0.00865366270425834
"133" "Oretic" "Aalvea" 0 0 2 87 0.127340212208506 0.00865366270425834
"134" "Oretus" "Aalvea" 0 0 2 88 0.127340212208506 0.00865366270425834
"135" "Enigri" "Aalvea" 1 0 2 19 0.118140224993117 0.00752694913859281
"136" "Emucro" "Aalvea" 0 0 2 16 0.127340212208506 0.00865366270425834
"137" "Ovesic" "Aalvea" 1 1 2 94 1 0
"138" "Oviril" "Aalvea" 0 0 2 96 0.127340212208506 0.00865366270425834
"139" "Opedun" "Aalvea" 1 0 2 82 0.118140224993117 0.00752694913859281
"140" "Otrian" "Aalvea" 0 0 2 92 0.127340212208506 0.00865366270425834
"141" "Oglabr" "Aalvea" 0 0 2 66 0.127340212208506 0.00865366270425834
"142" "Opustu" "Aalvea" 0 0 2 86 0.127340212208506 0.00865366270425834
"143" "Oherba" "Aalvea" 0 0 2 70 0.127340212208506 0.00865366270425834
"144" "Evenus" "Aalvea" 0 0 2 26 0.127340212208506 0.00865366270425834
"145" "Onorve" "Aalvea" 0 0 2 80 0.127340212208506 0.00865366270425834
"146" "Ephyli" "Aalvea" 0 0 2 20 0.127340212208506 0.00865366270425834
"147" "Ospeit" "Aalvea" 0 0 2 90 0.127340212208506 0.00865366270425834
"148" "Obella" "Aalvea" 1 0 2 58 0.118140224993117 0.00752694913859281
"149" "Hpruss" "Aalvea" 0 0 2 44 0.127340212208506 0.00865366270425834
"150" "Odolic" "Aalvea" 0 0 2 62 0.127340212208506 0.00865366270425834
"151" "Hspira" "Aalvea" 0 0 2 52 0.127340212208506 0.00865366270425834
"152" "Elanat" "Aalvea" 0 0 2 13 0.127340212208506 0.00865366270425834
"153" "Omyrti" "Aalvea" 0 0 2 77 0.127340212208506 0.00865366270425834
"154" "Hnudip" "Aalvea" 0 0 2 37 0.127340212208506 0.00865366270425834
"155" "Hleuco" "Aalvea" 1 0 2 36 0.118140224993117 0.00752694913859281
"156" "Hacuti" "Aalvea" 0 0 2 28 0.127340212208506 0.00865366270425834
"157" "Hplicl" "Aalvea" 0 0 2 41 0.127340212208506 0.00865366270425834
"158" "Etesta" "Aalvea" 0 0 2 25 0.127340212208506 0.00865366270425834
"159" "Hplicd" "Aalvea" 0 0 2 39 0.127340212208506 0.00865366270425834
"160" "Edaphn" "Aalvea" 0 0 2 7 0.127340212208506 0.00865366270425834
"161" "Hpolit" "Aalvea" 0 0 2 43 0.127340212208506 0.00865366270425834
