,acutifolia,alba,alpina?,apennina,appendiculata,aurita,aurita x caprea,bicolor,borealis,breviserrata,caprea,caprea x appendiculata,cinerea,cinerea oleifolia,cinerea x myrsinifolia,daphnoides,elaeagnos,foetida,fragilis,fragilis x pentandra,glabra,glauca,glaucosericea,hastata,hastata x phylicifolia,helvetica,herbacea,lanata,lapponum,lapponum x glauca,lapponum x glauca?,lapponum x phylicifolia,mielichhoferi,myrsinifolia,myrsinites,myrtilloides,pentandra,phylicifolia,phylicifolia x caprea ?,polaris,purpurea,repens,reticulata,retusa,rosmarinifolia,rubens,starkeana,triandra,viminalis,viminalis x ?,viminalis x caprea,waldsteiniana
Hplicg,0,0,0,0,-3,0,0,0,0,0,-4,0,0,0,0,0,0,-1,0,0,0,34,10,-11,0,-5,0,-3,-16,0,-1,0,0,-8,-2,0,-3,-8,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Hplicl,0,0,0,0,0,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,-1,12,1,0,0,0,-2,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Hplicp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-2,-1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hpolit,0,-8,0,0,-3,-3,0,0,0,0,-3,-1,-11,0,0,-3,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,38,0,0,0,0,0,0,0,-10,0,0,0
Hpruss,0,-6,0,0,0,-7,0,0,0,0,-12,0,61,0,1,-1,0,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,-10,0,0,0,0,0,0,0,-11,0,0,0
Hpscho,0,0,0,0,6,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Hpurpu,0,-3,0,0,-3,-2,0,0,0,0,-2,-1,-3,0,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,-3,0,0,0
Hscapr,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsglab,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsglau,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,6,0,-1,0,0,0,0,-4,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hslana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspecc,0,-1,0,0,0,-1,0,0,0,0,-2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Hspira,0,0,0,0,18,-1,0,0,0,0,-1,-1,0,0,0,-2,-1,-1,0,0,-1,0,-3,-3,0,-3,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-2
Hspirh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
Htuber,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-2,-1,6,0,0,0,0,-1,0,0,0,0,-2,0,-1,-1,-3,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0
Oaacut,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0
Oadaph,0,0,0,0,-1,0,0,0,0,0,-1,0,-2,0,0,25,-4,0,-1,0,0,0,-1,-5,0,-1,0,0,0,0,0,0,-1,-5,0,0,0,0,0,0,-8,-1,0,0,0,0,0,-1,0,0,0,-1
Oarcti,0,0,0,0,0,-1,-1,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,-10,0,-5,-1,0,-2,-8,-12,0,0,-1,0,-5,-2,-1,0,21,1,0,0,0,0,0,0,0,-1,0,0,0,0,0
Obella,0,-1,0,0,0,9,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0
Obrevi,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,-6,0,0,0,0,0,-5,0,-2,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
Obridg,0,-1,0,0,19,1,0,0,0,0,17,1,14,0,0,-2,-2,-3,-1,0,-1,-1,-3,-6,0,-3,0,0,-1,0,0,0,-2,-6,0,0,-2,0,0,0,-12,-1,-1,-1,0,0,0,0,0,0,0,-2
Ocolla,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0
Odolic,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-5,0,-3,-1,0,-1,-4,-6,0,0,-1,-1,-3,-1,-1,0,12,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Oelaea,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Ofoeti,0,0,0,0,-6,0,0,0,0,-4,0,0,0,0,0,-1,-2,16,0,0,0,0,0,-8,0,-3,0,0,0,0,0,0,-5,-8,0,0,-1,0,0,0,-4,0,-2,-4,0,0,0,0,0,0,0,7
Ogalla,0,0,0,0,-1,-2,0,0,0,0,22,0,-1,0,0,0,-1,0,-2,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,-2,0,-1,0,-1,0,0,-2,0,0,0,0,0,0,0,-1,0,0,0
Oglabr,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-12,0,-5,-1,0,-2,16,-9,0,0,-1,0,-5,-1,-1,0,-6,0,0,0,0,-3,0,0,0,-1,0,0,0,0,0
Oglauc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,-3,0,0,0,-5,-9,0,0,0,0,0,-2,0,0,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,0
Ohasta,0,0,0,0,-3,0,0,0,-1,-4,-3,0,0,0,0,-4,0,-6,0,0,0,-10,-11,38,1,-13,0,-7,-5,0,0,-1,0,-10,-2,-1,-1,-4,0,0,-5,0,-4,-2,0,0,-1,0,0,0,0,0
Ohelve,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-5,-5,0,7,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Oherba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,13,-2,-4,0,0,0,0,0,-1,0,0,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,0
Okriec,0,0,0,0,-2,0,0,0,0,0,-3,-1,0,0,0,-5,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0
Olappl,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-14,0,-2,0,0,0,-5,21,0,0,0,0,-2,-2,0,0,-7,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Olappo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,-3,0,0,-2,-8,24,0,0,0,0,-2,-2,0,0,-9,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Omacul,0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,-7,-8,0,15,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0
Omonti,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,-2,0,-1,-2,0,0,0,0,0,0,0,5
Omyrsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-1,0,0,-1,-1,-3,0,0,0,0,-1,11,0,0,-2,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
Omyrti,0,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,0,0,-1,-2,0,0,-1,0,-2,-1,5,0,-2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Onigri,0,0,0,0,-3,0,0,1,0,0,-2,0,0,0,0,-2,-1,-4,0,0,0,-2,-1,-7,0,-1,0,-1,0,0,0,0,7,15,0,0,0,-1,0,0,-2,0,-1,-2,0,0,0,0,0,0,0,-4
Onival,0,0,0,0,-3,0,0,0,-1,0,-2,0,0,0,0,-1,0,0,0,0,0,25,16,-18,-1,-11,-1,-12,-17,0,0,-1,0,-9,-3,-1,-2,-9,0,0,-1,0,-2,0,0,0,-1,0,0,0,0,0
Onorve,0,0,0,0,0,0,0,0,5,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-2,0,0,-1,0,-1,0,-1,0,-2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Oobscu,0,0,1,0,-7,0,0,0,0,-4,0,0,0,0,0,-1,-2,18,0,0,0,0,0,-7,0,-3,0,0,0,0,0,0,-5,-8,0,0,-1,0,0,0,-3,0,-4,-5,0,0,0,0,0,0,0,7
Opedun,0,-2,0,0,0,-1,0,0,0,0,-4,0,18,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,0,0,0,0,0,-1,-3,0,0,0
