,Aacumi,Aalvea,Acubic,Adelog,Agalli,Aminim,Amorri,Anigro,Apante,Aprost,Apusil,Atroch,Atymbe,Axanth,Bbrevi,Bconju,Bdisco,Bepitr,Bimmut,Binter,Bkopel,Blivid,Bobscu,Bpicti,Bpulch,Bracin,Bracsp,Broman,Campop,Ccruxx,Cdorsa,Celong,Cflavi,Cgraci,Chalci,Cincer,Claevi,Cnrsub,Coreop,Croman,Csalic,Ctenoc,Ctrifa,Cvarie,Cvitta,Dcoleo,Dlongi,Dstram,Dwestw,Eacicu,Ealbit,Eanali,Ecalca,Eclytu,Efront,Eheyer,Enobbe,Epygma,Eridol,Esalic,Espone,Etaige,Etorym,Etoxon,Eurozo,Euryto,Geliss,Gornat,Hruber,Ialter,Ibrevi,Ichnin,Ichnsp,Ilappo,Ireuni,Lalpic,Lalpio,Lalpiu,Latole,Lflexi,Lforti,Llappo,Llugen,Lpunct,Lsubco,Mesole,Mlongi,Mspone,Mvesic,Mymari,Olesic,Pclavi,Pcynip,Pdolic,Peuura,Pnemat,Polybl,Ppecti,Pponta,Ppumil,Psauli,Psoemi,Pterom,Rbrach,Salcal,Salpin,Saotis,Sborea,Sgranu,Slappo,Smorle,Snigri,Spygid,Srenov,Ssubar,Strico,Svesic,Tetras,Themip,Torymu,Tspfiv,Tspfou,Tspone,Tspsix,Tspthr,Tsptwo
Halien,-1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,2,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-2,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0
Hangli,0,0,0,3,0,-3,0,0,0,0,3,0,0,0,-1,-1,-5,0,-1,0,-1,0,0,0,0,2,0,0,0,-7,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3,-1,2,0,0,0,0,0,0,0,0,1,0,-2,-1,-1,0,0,0,0,0,-2,4,0,0,-1,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,-4,0,-3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-6,0,0,0,0,1,0,0,0,0
Hanoma,0,0,0,3,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,-2,0,-1,0,0,0,0,1,0,0,0,-4,-1,8,-1,0,-7,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,0,-1,-2,0,0,0,0,0,0,0,0,0
Hcarin,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-2,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0
Heryth,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,9,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,3,0,0,-1,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
Hischn,1,0,-1,3,0,0,0,0,0,0,5,0,0,0,-1,0,0,-1,0,0,0,0,-1,-2,0,1,0,-3,0,-3,0,5,0,0,2,0,-2,0,0,1,-1,-1,0,0,0,0,0,0,0,-11,0,0,0,0,-1,0,-1,0,0,-2,0,0,-11,0,0,0,0,0,-6,1,-1,1,0,0,0,0,0,-1,1,-1,0,0,0,2,0,-2,0,0,0,0,0,0,-2,-11,-7,0,0,0,-2,0,0,0,0,-1,0,0,0,-2,0,1,1,-1,-1,0,-2,7,-11,0,0,0,-1,0,0,0,0,0
Hleuca,-2,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,-2,0,-1,0,0,0,0,1,0,0,0,-8,0,34,0,0,4,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,-2,0,0,0,-2,0,0,0,0,0,0,-1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-2,-1,0,0,0,0,0,0,0,0,0
Hleuco,-1,-1,-1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,-4,0,-1,0,-5,0,7,1,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-3,0,0,-1,0,0,0,0,0,0,-1,0,0,-2,-2,0,0,0,0,-1,0,0,-5,0,0,-1,0,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,-8,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-2,-1,0,-1,0,-2,-5,0,0,0,0,0,0,0,0,0
Hnudip,0,0,-1,-2,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,-1,0,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-1,-2,0,0,0,0,-2,0,-1,0,0,0,0,0,0,0,-4,-2,0,0,0,0,-1,0,0,0,0,0,0,-1,2,0,-1,-2,1,0,-1,5,1,-3,0,0,0,0,0,0,0,0,0
Hoblit,-1,0,0,1,0,-4,0,0,0,0,-3,0,0,0,-1,-2,-4,-1,-2,-1,-1,0,0,0,0,1,0,0,0,-8,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-1,1,0,0,0,0,0,0,-1,0,0,-2,-1,-1,0,0,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,-4,0,0,1,0,0,0,0,0,0,0,-2,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,0,0,0,0,0,0,0,0,0
