,Salix,Rgaller,cooccur,interact
489,pentandra,Ohelve,0,0
490,breviserrata,Ohelve,0,0
491,reticulata,Ohelve,0,0
492,retusa,Ohelve,0,0
493,aurita,Ohelve,0,0
494,triandra,Ohelve,0,0
495,lanata,Ohelve,0,0
496,herbacea,Ohelve,0,0
497,borealis,Ohelve,0,0
498,myrtilloides,Ohelve,0,0
499,viminalis,Ohelve,0,0
500,glabra,Ohelve,0,0
501,apennina,Ohelve,0,0
502,rubens,Ohelve,0,0
503,rosmarinifolia,Ohelve,0,0
504,caprea x appendiculata,Ohelve,0,0
505,cinerea oleifolia,Ohelve,0,0
506,viminalis x caprea,Ohelve,0,0
507,viminalis x ?,Ohelve,0,0
508,alpina?,Ohelve,0,0
509,phylicifolia x caprea ?,Ohelve,0,0
510,lapponum x glauca?,Ohelve,0,0
511,lapponum x glauca,Ohelve,0,0
512,aurita x caprea,Ohelve,0,0
513,starkeana,Ohelve,0,0
514,hastata x phylicifolia,Ohelve,0,0
515,lapponum x phylicifolia,Ohelve,0,0
516,acutifolia,Ohelve,0,0
517,bicolor,Ohelve,0,0
518,polaris,Ohelve,0,0
519,cinerea x myrsinifolia,Ohelve,0,0
520,fragilis x pentandra,Ohelve,0,0
521,elaeagnos,Onival,0,0
522,appendiculata,Onival,3,0
523,myrsinifolia,Onival,9,0
524,foetida,Onival,0,0
525,hastata,Onival,18,0
526,daphnoides,Onival,1,0
527,helvetica,Onival,11,0
528,glaucosericea,Onival,16,16
529,cinerea,Onival,0,0
530,purpurea,Onival,1,0
531,alba,Onival,0,0
532,fragilis,Onival,0,0
533,repens,Onival,0,0
534,lapponum,Onival,17,0
535,myrsinites,Onival,3,0
536,phylicifolia,Onival,9,0
537,glauca,Onival,25,25
538,caprea,Onival,2,0
539,mielichhoferi,Onival,0,0
540,waldsteiniana,Onival,0,0
541,pentandra,Onival,2,0
542,breviserrata,Onival,0,0
543,reticulata,Onival,2,0
544,retusa,Onival,0,0
545,aurita,Onival,0,0
546,triandra,Onival,0,0
547,lanata,Onival,12,0
548,herbacea,Onival,1,0
549,borealis,Onival,1,0
550,myrtilloides,Onival,1,0
551,viminalis,Onival,0,0
552,glabra,Onival,0,0
553,apennina,Onival,0,0
554,rubens,Onival,0,0
555,rosmarinifolia,Onival,0,0
556,caprea x appendiculata,Onival,0,0
557,cinerea oleifolia,Onival,0,0
558,viminalis x caprea,Onival,0,0
559,viminalis x ?,Onival,0,0
560,alpina?,Onival,0,0
561,phylicifolia x caprea ?,Onival,0,0
562,lapponum x glauca?,Onival,0,0
563,lapponum x glauca,Onival,0,0
564,aurita x caprea,Onival,0,0
565,starkeana,Onival,1,0
566,hastata x phylicifolia,Onival,1,0
567,lapponum x phylicifolia,Onival,1,0
568,acutifolia,Onival,0,0
569,bicolor,Onival,0,0
570,polaris,Onival,0,0
571,cinerea x myrsinifolia,Onival,0,0
572,fragilis x pentandra,Onival,0,0
573,elaeagnos,Ovimin,7,0
574,appendiculata,Ovimin,3,0
575,myrsinifolia,Ovimin,10,0
576,foetida,Ovimin,3,0
577,hastata,Ovimin,4,0
578,daphnoides,Ovimin,6,0
579,helvetica,Ovimin,3,0
580,glaucosericea,Ovimin,1,0
581,cinerea,Ovimin,8,0
582,purpurea,Ovimin,54,54
583,alba,Ovimin,11,0
584,fragilis,Ovimin,4,0
585,repens,Ovimin,0,0
586,lapponum,Ovimin,0,0
587,myrsinites,Ovimin,0,0
588,phylicifolia,Ovimin,0,0
589,glauca,Ovimin,0,0
590,caprea,Ovimin,4,0
591,mielichhoferi,Ovimin,0,0
592,waldsteiniana,Ovimin,0,0
593,pentandra,Ovimin,0,0
594,breviserrata,Ovimin,1,0
595,reticulata,Ovimin,1,0
596,retusa,Ovimin,2,0
